isoo,isod,Nijl,Nijh,dums
AGO,BRB,0,0,0
AGO,BRN,0,0,0
AGO,BTN,0,0,0
AGO,BWA,0,0,0
AGO,CAF,0,0,0
AGO,CAN,1215,1035,0
AGO,CHE,4954,0,0
AGO,CHL,0,0,0
AGO,CHN,0,0,0
AGO,CIV,0,0,0
AGO,CMR,0,0,0
AGO,COG,0,0,0
AGO,COL,0,0,0
AGO,COM,0,0,0
AGO,CPV,0,0,0
AGO,CRI,0,0,0
AGO,CUB,0,0,0
AGO,CYP,0,0,0
AGO,CZE,66,47,0
AGO,DEU,0,0,0
AGO,DJI,0,0,0
AGO,DNK,74,22,0
AGO,DOM,0,0,0
AGO,DZA,0,0,0
AGO,ECU,0,0,0
AGO,EGY,0,0,0
AGO,ERI,0,0,0
AGO,ESP,2370,1225,0
AGO,EST,1,2,0
AGO,ETH,0,0,0
AGO,FIN,194,12,0
AGO,FJI,0,0,0
AGO,FRA,10375,2014,0
AGO,FSM,0,0,0
AGO,GAB,0,0,0
AGO,GBR,6852,4058,0
AGO,GEO,0,0,0
AGO,GHA,0,0,0
AGO,GIN,0,0,0
AGO,GMB,0,0,0
AGO,GNB,0,0,0
AGO,GNQ,0,0,0
AGO,GRC,4,4,0
AGO,GRD,0,0,0
AGO,GTM,0,0,0
AGO,GUY,0,0,0
AGO,HND,0,0,0
AGO,HRV,0,0,0
AGO,HTI,0,0,0
AGO,HUN,24,16,0
AGO,IDN,0,0,0
AGO,IND,0,0,0
AGO,IRL,472,140,0
AGO,IRN,0,0,0
AGO,IRQ,0,0,0
AGO,ISL,28,3,0
AGO,ISR,0,0,0
AGO,ITA,1102,224,0
AGO,JAM,0,0,0
AGO,JOR,0,0,0
AGO,JPN,5,5,0
AGO,KAZ,0,0,0
AGO,KEN,0,0,0
AGO,KGZ,0,0,0
AGO,KHM,0,0,0
AGO,KWT,0,0,0
AGO,LAO,0,0,0
AGO,LBN,0,0,0
AGO,LBR,0,0,0
AGO,LBY,0,0,0
AGO,LCA,0,0,0
AGO,LKA,0,0,0
AGO,LSO,0,0,0
AGO,LTU,0,0,0
AGO,LUX,467,43,0
AGO,LVA,2,0,0
AGO,MAR,0,0,0
AGO,MDA,0,0,0
AGO,MDG,0,0,0
AGO,MDV,0,0,0
AGO,MEX,2,5,0
AGO,MKD,0,0,0
AGO,MLI,0,0,0
AGO,MLT,0,0,0
AGO,MMR,0,0,0
AGO,MNG,0,0,0
AGO,MOZ,0,0,0
AGO,MRT,0,0,0
AGO,MUS,0,0,0
AGO,MWI,0,0,0
AGO,MYS,0,0,0
AGO,NAM,0,0,0
AGO,NER,0,0,0
AGO,NGA,0,0,0
AGO,NIC,0,0,0
AGO,NLD,2868,358,0
AGO,NOR,179,54,0
AGO,NPL,0,0,0
AGO,NZL,0,0,0
AGO,OMN,0,0,0
AGO,PAK,0,0,0
AGO,PAN,0,0,0
AGO,PER,0,0,0
AGO,PHL,0,0,0
AGO,PNG,0,0,0
AGO,POL,16,34,0
AGO,PRT,113002,38730,0
AGO,PRY,0,0,0
AGO,QAT,0,0,0
AGO,ROM,0,0,0
AGO,RWA,0,0,0
AGO,SAU,0,0,0
AGO,SDN,0,0,0
AGO,SEN,0,0,0
AGO,SGP,0,0,0
AGO,SLB,0,0,0
AGO,SLE,0,0,0
AGO,SLV,0,0,0
AGO,SOM,0,0,0
AGO,SRB,0,0,0
AGO,STP,0,0,0
AGO,SUR,0,0,0
AGO,SVK,9,6,0
AGO,SVN,0,1,0
AGO,SWE,380,120,0
AGO,SWZ,0,0,0
AGO,SYR,0,0,0
AGO,TCD,0,0,0
AGO,TGO,0,0,0
AGO,THA,0,0,0
AGO,TJK,0,0,0
AGO,TKM,0,0,0
AGO,TON,0,0,0
AGO,TTO,0,0,0
AGO,TUN,0,0,0
AGO,TUR,0,0,0
AGO,TZA,0,0,0
AGO,UGA,0,0,0
AGO,UKR,0,0,0
AGO,URY,0,0,0
AGO,USA,9620,3661,0
AGO,UZB,0,0,0
AGO,VCT,0,0,0
AGO,VEN,0,0,0
AGO,VNM,0,0,0
AGO,VUT,0,0,0
AGO,WSM,0,0,0
AGO,YEM,0,0,0
AGO,ZAF,0,0,0
AGO,ZAR,0,0,0
AGO,ZMB,0,0,0
AGO,ZWE,0,0,0
ALB,AFG,0,0,0
ALB,AGO,0,0,0
ALB,ALB,1704032,144520,1
ALB,ARE,0,0,0
ALB,ARG,0,0,0
ALB,ARM,0,0,0
ALB,AUS,1381,333,0
ALB,AUT,0,0,0
ALB,AZE,0,0,0
ALB,BDI,0,0,0
ALB,BEL,1641,671,0
ALB,BEN,0,0,0
ALB,BFA,0,0,0
ALB,BGD,0,0,0
ALB,BGR,0,0,0
ALB,BHR,0,0,0
ALB,BHS,0,0,0
ALB,BIH,0,0,0
ALB,BLR,0,0,0
ALB,BLZ,0,0,0
ALB,BOL,0,0,0
ALB,BRA,0,0,0
ALB,BRB,0,0,0
ALB,BRN,0,0,0
ALB,BTN,0,0,0
ALB,BWA,0,0,0
ALB,CAF,0,0,0
ALB,CAN,3280,7210,0
ALB,CHE,2544,0,0
