iso,Lambdap,LambdaNMp,LambdaPESCp,LambdaSCp,Hr,Hn,HrNMp,HrPESCp,HrSCp,HnNM,HnPE,HnGE
"BFA",3.26613480182901,2.98775494164595,2.97878906299272,2.98110846016384,0.00943627721812527,0.0103064275292873,0.00951620955265186,0.00951713856463056,0.00949593975044803,0.00951620955265186,0.00948884982199734,0.00949593975044803
"BGD",2.88692122565318,2.80131182052836,2.80449818878737,2.80371459167079,0.0737554339252992,0.0758384946115259,0.0735217880615897,0.0735324391619192,0.0735882621416857,0.0735217880615897,0.0736099223319421,0.0735882621416857
"BGR",1.27139808493869,1.27757857778856,1.27429691448849,1.27460136359602,0.199404913057055,0.198631870490656,0.202172476815197,0.200709083167342,0.20047121252079,0.202172476815197,0.200296793677742,0.20047121252079
"BHR",2.10458172821097,2.06518346504867,2.06681269114098,2.06641467977293,0.180163307727532,0.182971468749741,0.179811345967261,0.179828075235642,0.1799119253574,0.179811345967261,0.179944413747667,0.1799119253574
"BHS",2.91913091945929,2.10605060015538,2.06358952407594,2.06967246517772,0.110226990650081,0.146545897532408,0.117065474559567,0.11697509691674,0.115205133196119,0.117065474559567,0.114887656895771,0.115205133196119
"BIH",2.58577151389113,2.26576926901346,2.24625857528763,2.2479647794435,0.0851154994763856,0.0959828250041924,0.087434318255317,0.0875225521944272,0.0868872173849445,0.087434318255317,0.0868343333227162,0.0868872173849445
"BLR",1.63174351106451,1.56258885151506,1.57985980724809,1.57665010988764,0.172869036905006,0.179149016914061,0.166598825037112,0.168291909985571,0.16923983278542,0.166598825037112,0.169836092877822,0.16923983278542
"BLZ",3.71330449628893,2.33678273003508,2.22655595609058,2.22561603500032,0.0966934671900308,0.145372161131679,0.113811400527071,0.114401519832691,0.109558850864535,0.113811400527071,0.109596586425868,0.109558850864535
"BOL",1.60684230540959,1.62052246530844,1.61411860173508,1.61496445976082,0.142704876293687,0.141670856649251,0.145438791114045,0.144164941114219,0.143910004459133,0.145438791114045,0.143677093443648,0.143910004459133
"BRA",3.56742942408336,3.49327597030624,3.47553095861729,3.48077894792914,0.0936258266239455,0.095423618428861,0.0946346568508753,0.0948773032169098,0.0944983838046682,0.0946346568508753,0.0944408652329059,0.0944983838046682
"BRB",3.81195380772731,2.10554190336802,2.01880660941598,2.00779867884984,0.115384822491102,0.191033160219675,0.135975143765968,0.135544746688786,0.129987570833909,0.135975143765968,0.130690868225683,0.129987570833909
"BRN",2.02153602297819,1.87942511380124,1.8885958088457,1.88655813087612,0.129069183418406,0.137486830037369,0.12731006365712,0.127470645783069,0.127857415952323,0.12731006365712,0.12801301797362,0.127857415952323
"BTN",3.07658918135888,2.91512062654889,2.91546468450745,2.91538030678823,0.0519271190686226,0.0546461868669931,0.0519100037342514,0.051910272856621,0.0519145910781992,0.0519100037342514,0.0519160815060949,0.0519145910781992
"BWA",3.08638692736485,2.98775487383274,2.96812965662161,2.97384734147644,0.0431052797632954,0.0444650019320991,0.0437614493287783,0.0438916127600694,0.0436584912859969,0.0437614493287783,0.0436158831526051,0.0436584912859969
"CAF",3.89147054320759,2.93103371375558,2.97140131214142,2.96208815784914,0.00956587573382725,0.0126607224262468,0.00915000506114985,0.0091993367332058,0.00928475330968627,0.00915000506114985,0.00932485296215446,0.00928475330968628
"CAN",1.1719210942624,1.16840559179396,1.20270366384673,1.17323500021237,0.504138988396655,0.497861295969861,0.489148190341476,0.482502695745817,0.501104381984563,0.489148190341476,0.571979593372685,0.501104381984562
"CHE",1.55235319648885,1.47776358654538,1.56560606476579,1.5368412818351,0.232547032840048,0.217127500248688,0.197286144865086,0.202482283126598,0.213159841158216,0.197286144865086,0.220455056051212,0.213159841158216
"CHL",2.03256679201687,1.96722184590335,1.98757836332051,1.98564056894369,0.137095718603184,0.137114320541482,0.132703459991414,0.133574580368796,0.133976127713518,0.132703459991414,0.13410865102562,0.133976127713518
"CHN",1.36033987976765,1.33563006879596,1.34597146628596,1.34426124959223,0.0810843292331025,0.0824607297425965,0.0782270492468068,0.0794518697549498,0.0797235695769064,0.0782270492468068,0.080017817823136,0.0797235695769063
"CIV",3.33860234328055,2.98775492858084,2.97845415475436,2.98075601559701,0.0380283985415369,0.0423050959398386,0.0383603382380185,0.0383607688077794,0.0382742891186811,0.0383603382380185,0.0382459202748983,0.0382742891186811
"CMR",3.77878602627884,2.98775492710858,2.94908059878602,2.95848740381262,0.0298982740563108,0.0375170943524476,0.0310175729918437,0.0310191418168873,0.0307249281087173,0.0310175729918437,0.0306299199800868,0.0307249281087173
"COG",3.14695640042356,2.98775489912355,2.98606788940709,2.98648745519725,0.0489396666369806,0.0514133278356583,0.0490160049694113,0.0490158593271968,0.0489961232009552,0.0490160049694113,0.0489895388031501,0.0489961232009551
"COL",2.97406946384753,2.90759304476392,2.89800375130886,2.90045637416894,0.167592978054953,0.17077032507283,0.168792517796793,0.168963076439105,0.168574798574105,0.168792517796793,0.168499728546884,0.168574798574105
"COM",3.83776681609486,2.98775495799861,3.02786724667372,3.02130979350515,0.0384391445526817,0.0488409059461576,0.0367203682676933,0.0369078998983532,0.0372769489454632,0.0367203682676933,0.037384884629806,0.0372769489454632
"CPV",4.56928753191555,2.5674762566356,2.5197426814927,2.51267458540812,0.0280931903291657,0.0489252592695258,0.0306309144819755,0.0304811085599412,0.0298262014236705,0.0306309144819755,0.0299313769087306,0.0298262014236704
"CRI",2.04803198578853,1.98499659259549,1.98828563267765,1.98754783581528,0.154635823768279,0.158766785998379,0.153956068921944,0.153998806012402,0.154156699146316,0.153956068921944,0.154214623645899,0.154156699146316
"CUB",2.80824542293441,2.1516238476321,2.21909191122676,2.21059814453479,0.0956212214925367,0.121263794874631,0.0853498825590295,0.0871930362225484,0.0891456472005469,0.0853498825590295,0.0896819328522413,0.0891456472005469
"CYP",1.82454513098331,1.74817102707399,1.76267301207311,1.76116928529787,0.299666541424009,0.308716707021792,0.292359546672179,0.293857303722317,0.295243581172384,0.292359546672179,0.295574480882584,0.295243581172384
