iso,Lambda,LambdaNM,LambdaPESC,LambdaSC,Hr,Hn,HrNM,HrPESC,HnSC,Niih,Niil,Mh,Ml,L,N,LIC,LMIC,UMIC,HIC,mH,mL,HnNM,HnPE,HnGE
"BEL",1.2382451352996,1.20935449779382,1.23591930787097,1.222660476738,0.301571749186533,0.311711496979467,0.280455577439386,0.288080602594342,0.295034409856489,2342123,5295176,147877.999999978,202982.000000091,8433343,7988159,0,0,0,1,0.0593887311691756,0.036918182416746,0.280455577439386,0.309249337667571,0.295034409856489
"BEN",3.58136455893804,2.93147514036491,3.09779014184597,3.06567668369235,0.0137170412444351,0.0167072158363531,0.0108571076080448,0.0117271231974764,0.0120901857034664,50275,3614874,11350,12026.9999991073,3665149,3688526,0,1,0,0,0.184178498985802,0.0033160541186835,0.0108571076080448,0.0123842129880798,0.0120901857034664
"BFA",3.26613480182901,2.98775494164595,3.06915390486502,3.0534926058876,0.00943627721812527,0.0103064275292873,0.00842531356851933,0.00874270564913931,0.00887242637578496,49530,5199362,4736.00000000087,11629.9999976391,5248892,5265258,0,1,0,0,0.0872737994324415,0.00223182073540683,0.00842531356851933,0.00897875495162309,0.00887242637578496
"BGD",2.88692122565318,2.80131182052836,2.83381809388607,2.82817466877243,0.0737554339252992,0.0758384946115259,0.070121472346422,0.0715210074898576,0.0719141402905754,5265208,66122183,182889.000000271,267868.000009027,71387391,71838148,0,1,0,0,0.0335693362288283,0.00403476117240861,0.070121472346422,0.0722909373303789,0.0719141402905754
"BGR",1.27139808493869,1.27757857778856,1.27429691448849,1.27460136359602,0.199404913057055,0.198631870490656,0.202172476815197,0.200709083167342,0.20047121252079,977645,3925168,102270.00000001,431682.999999949,4902813,5436766,0,0,1,0,0.0947018978345611,0.0990814237163375,0.202172476815197,0.200296793677742,0.20047121252079
"BHR",2.10458172821097,2.06518346504867,2.06681269114098,2.06641467977293,0.180163307727532,0.182971468749741,0.179811345967261,0.179828075235642,0.1799119253574,280128,1274728,6643.00000000348,5799.9999999256,1554856,1567299,0,0,1,0,0.0231648248951375,0.00452938163001949,0.179811345967261,0.179944413747667,0.1799119253574
"BHS",2.91913091945929,2.10605060015538,2.06358952407594,2.06967246517772,0.110226990650081,0.146545897532408,0.117065474559567,0.11697509691674,0.115205133196119,23979,193563,12229.9999999999,17311.0000000031,217542,247083,0,0,0,1,0.337761330056062,0.0820916755977651,0.117065474559567,0.114887656895771,0.115205133196119
"BIH",2.58577151389113,2.26576926901346,2.24625857528763,2.2479647794435,0.0851154994763856,0.0959828250041924,0.087434318255317,0.0875225521944272,0.0868872173849445,243343,2615631,94918.999999999,570299.999999957,2858974,3524193,0,0,1,0,0.280607931130304,0.179005760011738,0.087434318255317,0.0868343333227162,0.0868872173849445
"BLR",1.63174351106451,1.56258885151506,1.57985980724809,1.57665010988764,0.172869036905006,0.179149016914061,0.166598825037112,0.168291909985571,0.16923983278542,1774445,8490233,119502.999999997,187732.999999405,10264678,10571914,0,0,0,1,0.0630972972858795,0.0216332951753216,0.166598825037112,0.169836092877822,0.16923983278542
"BLZ",3.71330449628893,2.33678273003508,2.22655595609058,2.22561603500032,0.0966934671900308,0.145372161131679,0.113811400527071,0.114401519832691,0.109558850864535,13253,123809,13055,30853.0000000002,137062,180970,0,0,1,0,0.49623688611829,0.199486622441196,0.113811400527071,0.109596586425868,0.109558850864535
"BOL",1.60684230540959,1.62052246530844,1.61049607012713,1.6112065089833,0.142704876293687,0.141670856649251,0.151383957062048,0.144999013319135,0.144731992020305,580665,3488327,24847.9999999749,180243.000000156,4068992,4274083,0,1,0,0,0.041036278329243,0.0491316780108206,0.151383957062048,0.14423127853514,0.144731992020305
"BRA",3.56742942408336,3.49327597030624,3.47553095861728,3.48077894792914,0.0936258266239455,0.095423618428861,0.0946346568508753,0.0948773032169103,0.0944983838046682,9979212,96606891,267619.000000015,528822.999998982,106586103,107382545,0,0,1,0,0.0261172454195853,0.00544416649883257,0.0946346568508753,0.0944408652329058,0.0944983838046682
"BRB",3.81195380772731,2.10554190336802,2.01880660941598,2.00779867884984,0.115384822491102,0.191033160219675,0.135975143765968,0.135544746688787,0.129987570833909,21428,164281,29775,52548.0000000002,185709,268032,0,0,0,1,0.581508895963127,0.24234765644817,0.135975143765968,0.130690868225684,0.129987570833909
"BRN",2.02153602297819,1.87942511380124,1.8885958088457,1.88655813087612,0.129069183418406,0.137486830037369,0.12731006365712,0.127470645783069,0.127857415952323,33150,223689,3127.00000000001,3892.0000000003,256839,263858,0,0,0,1,0.0861978664167381,0.0171016033851697,0.12731006365712,0.12801301797362,0.127857415952323
"BTN",3.07658918135888,2.91512062654889,2.96931513422245,2.95968492110036,0.0519271190686226,0.0546461868669931,0.0479955289375275,0.0493596548477525,0.049834073332232,19072,348212,1296.00000000007,4145.00000000079,367284,372725,0,1,0,0,0.0636292223095085,0.0117636374472504,0.0479955289375275,0.0502311977271623,0.049834073332232
"BWA",3.08638692736485,2.98775487383274,2.96812965662161,2.97384734147644,0.0431052797632954,0.0444650019320991,0.0437614493287783,0.0438916127600695,0.0436584912859969,122142,2711432,4319.00000000061,6163.99999846678,2833574,2844057,0,0,1,0,0.0341528218185892,0.00226818114188672,0.0437614493287783,0.0436158831526051,0.0436584912859969
"CAF",3.89147054320759,2.93103371375558,3.23086257176947,3.17784768480883,0.00956587573382725,0.0126607224262468,0.00593433141570299,0.00724140834051816,0.00760784592437933,16754,1734680,5603.00000000005,8817.99999987695,1751434,1765855,1,0,0,0,0.250615019904283,0.00505764847443298,0.00593433141570299,0.00797625668722191,0.00760784592437933
"CAN",1.1719210942624,1.16840559179396,1.20321077799019,1.17323500021237,0.504138988396655,0.497861295969861,0.489148190341476,0.482188996147498,0.501104381984563,11822846,11960301,526590.999999866,495237.000000194,29426514,24804975,0,0,0,1,0.0426408912406182,0.0397603861029684,0.489148190341476,0.573168870169565,0.501104381984562
"CHE",1.55235319648885,1.47776358654538,1.56580956934564,1.5368412818351,0.232547032840048,0.217127500248688,0.197286144865086,0.202418046988497,0.213159841158216,1196416,4531521,137233.000000003,277069.000000057,7056293,6142239,0,0,0,1,0.102900388333065,0.0576195932695565,0.197286144865086,0.220505713259315,0.213159841158216
