"HumCap","TecExt","DiaExt","FisExt","MktExt","RemEff","NatEff","HumCap2","TecExt2","DiaExt2","FisExt2","MktExt2","RemEff2","NatEff2","NIR6_NSb","NIR7_NSb","ynoselec_b","ywd"
"0.0287943379","0.00552020163","0.00674048522","-0.0142687271","2.67287876e-05","-0.000237532783","0.317171985","0.0287943379","0.00586237119","0.00651686209","1.13092884e-05","2.67287876e-05","0.00894703706","0.317171985","0.0265754937","0.343747479","2178.81965","2236.72441"
"0.0252503466","0.0117350376","0.00892315995","-0.0323958798","0.000159551846","-1.09584049e-05","0.114677727","0.0252503466","0.0129871909","0.00860490426","7.00658189e-05","0.000159551846","0.000811631128","0.114677727","0.0136612579","0.128338985","5260.70152","5332.58078"
"-0.00452306713","-0.0016304688","0.0437529881","0.00372733038","0.00021619416","-0.00554949679","0.733049602","-0.00452306713","-0.0016114941","0.0440238907","0.000116073311","0.00021619416","0.155112292","0.733049602","0.0359934799","0.769043082","6558.41284","6794.52399"
"3.90652513e-05","1.21692807e-05","0.000420547727","-2.06291559e-05","6.20174894e-08","0","0.0118088494","3.90652513e-05","1.21699429e-05","0.000420526181","9.87278135e-09","6.20174894e-08","0","0.0118088494","0.00045121512","0.0122600645","4353.42386","4355.38819"
"0.00255239285","0.00122020853","0.0067973489","-0.0022072683","5.07469598e-05","-1.37222636e-05","0.0233995234","0.00255239285","0.00122796258","0.00677180159","3.11837445e-05","5.07469598e-05","0.00164358963","0.0233995234","0.00839970666","0.0317992301","16922.9154","17065.0702"
"-0.00124073523","-0.000345834842","0.0153618758","0.000617433159","0.000173633526","-0.000789442683","0.0934602257","-0.00124073523","-0.000345457537","0.0153862872","7.1642454e-05","0.000173633526","0.0580331909","0.0934602257","0.0137769297","0.107237155","17535.5699","17777.1982"
"0.027722698","0.0292018937","0.00637644571","-0.0400612033","1.52547449e-05","-0.00119671537","0.0153127631","0.027722698","0.032123511","0.00603301859","-1.00378969e-05","1.52547449e-05","0.00511368388","0.0153127631","0.0220583735","0.0373711366","26182.6609","26760.2166"
"0.00750485563","0.00991497499","0.0124212694","-0.0145425138","1.93110799e-05","-0.00221425509","0.0229902509","0.00750485563","0.0102863402","0.0122085977","1.4618274e-05","1.93110799e-05","0.0194630009","0.0229902509","0.0131036422","0.0360938931","22341.2489","22634.0063"
"-0.000823520644","-0.000228206702","0.0037952306","0.000425110991","1.5424175e-05","-7.37395088e-05","0.0193415466","-0.000823520644","-0.00022792775","0.00379922635","5.11132402e-06","1.5424175e-05","0.0238263307","0.0193415466","0.00311029891","0.0224518455","11420.2452","11455.7661"
"0.0162088576","0.0193478047","0.00217969615","-0.0447755577","8.83922511e-05","6.30256545e-05","0.200842489","0.0162088576","0.0209815692","0.00210485455","7.76481473e-05","8.83922511e-05","0.00903441607","0.200842489","-0.00688778131","0.193954708","1129.99002","1122.20621"
"0.0121959235","0.0137227215","0.0120232501","-0.0182983663","1.19585172e-05","-0.00625182297","0.0216721569","0.0121959235","0.0143507012","0.0117194966","-2.87554182e-06","1.19585172e-05","0.0580031664","0.0216721569","0.0134036644","0.0350758213","26492.6957","26847.7992"
"0.010763096","0.0097290073","0.00200867899","-0.0238911936","6.60892951e-05","1.99208762e-05","0.0664480796","0.010763096","0.010256723","0.00196834349","2.86990303e-05","6.60892951e-05","0.014535582","0.0664480796","-0.00130440115","0.0651436785","3251.448","3247.20653"
"0.00382931725","0.00516153883","0.000988801342","-0.0114789821","8.10038109e-06","1.47727407e-05","0.0300263792","0.00382931725","0.00526654431","0.000979990389","3.45265671e-06","8.10038109e-06","0.00995097586","0.0300263792","-0.00147645157","0.0285499276","2891.32559","2887.05665"
"0.0100135291","0.00221414035","0.00197313447","-0.00550493423","6.35161481e-06","-0.00057063172","0.0983672614","0.0100135291","0.00226596576","0.00194929909","1.48810829e-06","6.35161481e-06","0.0702295398","0.0983672614","0.00813158954","0.106498851","2412.28166","2431.89747"
"-0.00105465787","-0.00119899673","0.0220847964","0.00176057746","3.74332937e-07","-0.000572895401","0.066104077","-0.00105465787","-0.00119360377","0.0221346804","1.98275068e-07","3.74332937e-07","0.0272563015","0.066104077","0.0210191982","0.0871232752","11954.1849","12205.4524"
"0.000482563428","0.000149365993","0.002449252","-0.00023751558","5.33888191e-06","0","0.0552415838","0.000482563428","0.000149449495","0.00244770522","1.65560788e-06","5.33888191e-06","0","0.0552415838","0.00284900472","0.0580905886","5359.95597","5375.22659"
"-0.0103945546","-0.00356454455","0.0251300172","0.00731807203","0.00134492591","0","0.17079981","-0.0103945546","-0.00348962775","0.0254857757","0.000420557371","0.00134492591","0","0.17079981","0.019833916","0.190633726","19716.137","20107.7118"
"-0.00426762321","-0.00139092574","0.0343203778","0.00314619407","0.000151659783","-0.00276305009","0.427901786","-0.00426762321","-0.00137691084","0.0345156865","0.000112221788","0.000151659783","0.0951300631","0.427901786","0.0291966326","0.457098419","8431.16935","8677.36844"
"0.00496944105","0.00282293212","0.00826110131","-0.00449299132","2.75819541e-05","-7.94290391e-05","0.0442297662","0.00496944105","0.00285621293","0.00819722547","1.796195e-05","2.75819541e-05","0.00691827059","0.0442297662","0.0115086361","0.0557384023","10226.0316","10343.7225"
"-0.0302369139","-0.00908914433","0.0386130975","0.0214889714","0.00271297349","-0.00125671459","0.87776773","-0.0302369139","-0.00854510628","0.0401937596","0.00306814333","0.00271297349","0.0643831923","0.87776773","0.0222322696","0.9","9251.4271","9457.66684"
