isoo,G,gnic,lic,lmic,umic,hic
"USA",1.06208767333143,31177.7219716791,0,0,0,1
"UZB",0.136898102839316,5284.07387090876,0,0,1,0
"VCT",0.246148040623301,5141.80689433348,0,0,1,0
"VEN",0.428088303737049,10596.1385576377,0,0,1,0
"VNM",0.853442946390466,2970.23015051031,0,1,0,0
"VUT",0.734153131334488,3089.52389132287,0,1,0,0
"WSM",0.854060734805011,3861.90486415359,0,1,0,0
"YEM",1.00148147815926,2698.69140451188,0,1,0,0
"ZAF",0.0704634656886257,4793.2717207136,0,0,1,0
"ZAR",0.795290906526319,249.434311366606,1,0,0,0
"ZMB",0.873138616134136,844.506730088794,1,0,0,0
"ZWE",0.819120794342765,778.935113498009,1,0,0,0
