"HumCap_p","TecExt_p","DiaExt_p","FisExt_p","MktExt_p","RemEff_p","NatEff_p","HumCap2_p","TecExt2_p","DiaExt2_p","FisExt2_p","MktExt2_p","RemEff2_p","NatEff2_p","NIR6_NMp","NIR7_NMp","ynomig_p","ywdp"
"0.00533350649","0.00211514174","0.00327737108","-0.00090664071","-0.00525144005","0.0084611602","0.28386558","0.00533350649","0.00214619032","0.00325313959","-0.00090664071","-0.00525144005","0.0084611602","0.28386558","0.0130290988","0.296894679","2295.55945","2313.48735"
"-0.000224180956","-0.00020952605","0.00429137418","-0.00126643988","-0.00716389675","0.000767781822","0.0882577932","-0.000224180956","-0.000209244497","0.00429323619","-0.00126643988","-0.00716389675","0.000767781822","0.0882577932","-0.00380488763","0.0844529055","5597.33931","5579.19483"
"-0.00452306713","-0.00325630078","0.0216054781","-0.0146210962","-0.0663430195","0.145412644","0.580221319","-0.00452306713","-0.0032055304","0.0217748728","-0.0146210962","-0.0663430195","0.145412644","0.580221319","0.078274638","0.658495957","6459.65649","6974.74346"
"3.90652513e-05","2.43387275e-05","0.00021025432","-1.98534016e-05","-0.000308592025","0","0.0120566113","3.90652513e-05","2.4340401e-05","0.00021024099","-1.98534016e-05","-0.000308592025","0","0.0120566113","-5.47871278e-05","0.0120018242","4464.53257","4464.10383"
"0.00255239285","0.00244261928","0.00339707204","-0.00136668347","-0.00547856537","0.00157066229","0.0207374805","0.00255239285","0.00246254078","0.00338018796","-0.00136668347","-0.00547856537","0.00157066229","0.0207374805","0.00311749762","0.0238549782","17777.3655","17753.4845"
"-0.00124073523","-0.000691552373","0.00764896823","-0.0024212927","-0.0142681278","0.0556428027","0.0364423168","-0.00124073523","-0.000690592296","0.00766377685","-0.0024212927","-0.0142681278","0.0556428027","0.0364423168","0.0446700629","0.0811123796","17535.4227","18326.1193"
"0.0183407878","0.0428795348","0.00319636728","-0.000535055874","-0.00482514106","0.00378092206","0.00987220128","0.0183407878","0.0462148782","0.0030119733","-0.000535055874","-0.00482514106","0.00378092206","0.00987220128","0.0628374149","0.0727096162","27897.7791","28070.4705"
"0.00516561598","0.0141918617","0.00620358585","-0.00278189973","-0.0107596471","0.0163327274","0.00109234408","0.00516561598","0.014626023","0.00608578049","-0.00278189973","-0.0107596471","0.0163327274","0.00109234408","0.0283522441","0.0294445882","23738.6555","23923.846"
"-0.000823520644","-0.00045635224","0.00189538337","-0.000399762552","-0.00293551632","0.0231160446","-0.00352710034","-0.000823520644","-0.000455634735","0.00189781233","-0.000399762552","-0.00293551632","0.0231160446","-0.00352710034","0.0203962762","0.0168691758","11531.1464","11775.2827"
"0.00189066581","0.00426728899","0.00105835145","-0.000554918236","-0.00158466906","0.00852305018","0.175844295","0.00189066581","0.00433466151","0.00105187406","-0.000554918236","-0.00158466906","0.00852305018","0.175844295","0.0135997691","0.189444064","1189.04894","1193.63474"
