iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"BEL",0.0714133893066529,0.0140163250890524,0.0610479979555729,0.00721840507708229,0.0605365264080641,0.00599985115272496,0.0314177507456292,0.0357280400245224,0.0674949697543179,0.0236523494555963,0.0154354519856112,0.0145580289260687,0.0192223339539789,0.00827074495316467
"BEN",0.0396517562711927,0.00204485374411662,0.0304507707674006,0.0125211417666337,0.0271394391778793,0.00946031922329386,0.0912150637392578,0.0685417146156801,0.0901516119600364,0.0815973459854126,0.073275466795823,0.0737407445721677,0.0250711452348607,0.0156291813600523
"BFA",0.0212705009899424,0.000253374089880043,0.0171365445006018,0.00618626738026111,0.015662487084578,0.0048162168336796,0.0412045993986252,0.0302969709710879,0.0404301552769432,0.0366992550947123,0.0335943915532691,0.0337561914602176,0.0113034693227839,0.00708707113391942
"BGD",0.0838225337147827,0.00828541188337222,0.0781979247986554,0.00553941006934634,0.0767602441738564,0.00506700096613605,0.111225570097441,0.106663571116074,0.112640678457092,0.10459597843833,0.0980687000695335,0.0981729026742686,0.0135919557694368,0.00784702064939193
"BGR",0.0319129897487964,0.0210047142748421,0.0339469784329239,-0.000888114981950644,0.0340802317500575,-0.00088961366898575,0.0647927625122843,0.0871083881442664,0.181695653759214,0.0646334230885215,0.0671373738777681,0.0724149654506616,0.00479872354607886,0.00624117043020532
"BHR",0.00204146205844039,0.00284944047958645,0.00200088737862638,0.000566991344294389,0.00182077972686572,0.000414405844729633,0.0570214548673316,0.0580910243159856,0.0654799887409301,0.0558083085935522,0.0566239199179031,0.0568005783615205,0.00204146205844039,0.00200088737862638
"BHS",-0.0045859350877798,0.0197866820247115,-0.00422349229059057,-0.0151598234817618,9.71824826029848e-05,-0.0108176232059792,0.161328291613692,0.190586491890989,0.338255904831498,0.155993137259251,0.170223916473717,0.173696455318597,-0.0045859350877798,-0.00422349229059057
"BIH",0.0896079067942354,0.0291327327571268,0.0921799669400561,-0.00615906526264997,0.0944338355068513,-0.00363940222120879,0.400989840979634,0.457028252618431,0.730334126772625,0.419187991167017,0.404487476430935,0.423100185293932,-0.00418302735089146,-0.00453058718032679
"BLR",0.0182475810993528,0.011592906389329,0.0156049521519939,0.00503615019366222,0.0143552167852504,0.00380591457680272,0.0534994582036236,0.0558232623395192,0.0823965457539157,0.0494062503260939,0.0470713269515816,0.048941815187917,0.0113419351167147,0.00863031226140039
"BLZ",0.0109029888120532,0.022443123546518,0.0104713482635394,-0.0424288301333604,0.0247819171891104,-0.0291377025221067,0.9,0.9,0.9,0.9,0.9,0.9,-0.0515755473717319,-0.0532393841878588
"BOL",0.0330596950866933,0.00759145241865078,0.042900775719648,-0.00241305406635766,0.0431226589963016,-0.00224245436666289,0.132765364225387,0.154993470290805,0.199668307470525,0.144711222575689,0.149206553489955,0.154354911807757,-0.00872087848876737,0.000497752946228091
"BRA",-6.29304074996465e-05,-0.000449441617382157,-0.00142531258955581,-0.00527592645540456,0.000616638200809263,-0.00317233116124393,0.0102827046742489,0.0132503974076241,0.0165499996701305,0.00844279233656007,0.0115568127643515,0.0120378000962773,-0.00289471811193361,-0.00425636851311572
"BRB",-0.0226548830052519,0.0348589099418002,-0.0192702630308175,-0.0369644943971736,-0.00745962896176598,-0.0256800603590871,0.26528237037873,0.413533767689304,0.9,0.347997982180637,0.294420597626108,0.340132456501457,-0.0587034465984416,-0.0563603857607171
"BRN",0.00719776445419738,0.00918584571113841,0.00681398614179744,0.00248435613216995,0.00602139138011395,0.00177448625870813,0.00427679021867998,0.00711747031261363,0.0317970257802562,0.000426225281163913,0.00229111626338964,0.00297720831581096,0.00719776445419738,0.00681398614179744
"BTN",0.0219346903756134,0.0117753965425971,0.0151794172734469,0.00892945997354707,0.0132607230037385,0.00707026938852891,0.0890812137530483,0.0838258006053352,0.0986300258043793,0.0813063033247273,0.0734846699740668,0.0743036001807109,0.0179517741357735,0.0111726111601979
"BWA",0.000806244942493289,-4.88560839839939e-06,3.60888187581785e-05,-0.00355375143503259,0.00135109692967367,-0.00216900627001407,0.0525738065719617,0.0554769361226551,0.0557777113082056,0.0519746966273924,0.0535684025539411,0.054038676778378,-0.00241922454358381,-0.00318554802409414
"CAF",0.046858838472739,-0.00131315368785966,0.0249173697111818,0.022859626012556,0.0202265646302437,0.0181792035645942,0.236352570999635,0.188331378757254,0.227793972612743,0.21486580606291,0.201842820581623,0.202359629694964,0.046858838472739,0.0249173697111818
"CAN",0.016557280366654,0.0371565275217645,0.00851367466627356,0.0112174657560071,0.00839869346420166,0.00973394215474126,0.0574575886357778,0.0820261767921836,0.0942918888775195,0.0558914539830028,0.0463844462943141,0.0290639326630938,0.0148673813081867,0.00680837155921043
"CHE",0.0619015414474338,0.0370484678416922,0.0451509870510385,0.0305591533979555,0.0394785568313568,0.0228433942708588,0.0588679281144435,0.0557041472006638,0.118293179870993,0.0488842302221327,0.0245986181224827,0.0256853567582708,0.0477719498901399,0.0307188973070913
"CHL",0.0116998728586337,0.0102838001622637,0.0110763202661318,0.0063122222115402,0.0087839259169566,0.00444259976069108,0.0244372964871265,0.0244410886313854,0.0473151634460088,0.0205549088950095,0.0194441599357562,0.0207824436809967,0.0113820892012984,0.0107554612354864
"CHN",0.0109171243113336,0.00120215771813869,0.00889471374458499,0.00192324977091239,0.00851467758991797,0.00162522213984868,0.015920822654352,0.0125195033041521,0.0174341398632177,0.0133294893209009,0.0126616845496262,0.0127406456122952,0.00469260124703727,0.00265181675671965
"CIV",0.0422259585810708,0.0130211214107763,0.0329653266274587,0.0131757627320979,0.0297945364773556,0.0102129219109675,0.208841645400331,0.197321356658073,0.218833867516834,0.198929569032141,0.186265218593242,0.187370791315433,0.025745410700326,0.0163219790557107
"CMR",0.0473632850173377,0.0151160229752054,0.0334359327492916,0.0206190988896571,0.0282969777206417,0.0156391498923186,0.230943886501677,0.207606505414189,0.242647399802287,0.216442140380173,0.198507610418544,0.199764074273085,0.0393980875918624,0.0253296447137557
