iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"AFG",0.0600858414779095,0.034037679950561,0.0363561938923232,0.0236515305374858,0.0331801068168721,0.0203750029975765,0.379858135631532,0.364401917211375,0.388865418622475,0.355814726976251,0.326218296446593,0.327635747772193,0.0510818636633961,0.0273266327374527
"AGO",0.0570085383107316,0.0146040006369959,0.0356953653038612,0.0301015422548579,0.0311583277079175,0.0254985062302924,0.17788220214083,0.137893930645512,0.197849987381183,0.157297966711923,0.137031492196219,0.139427615889456,0.0561973039213941,0.0348570741275136
"ALB",0.152372853298132,0.0379972716863408,0.15905904391472,-0.00180641516573509,0.159340049494369,-0.00135912095732715,0.706834451938852,0.777927929913952,0.9,0.733077595719294,0.707457853065535,0.732999558512787,-0.000709209961715442,-0.000671008948692906
"ARE",0.000457666237480754,0.000534354576790558,0.000439169864594055,0.000171556189774193,0.000402572735510671,0.000137781856729615,0.0123525098639737,0.0124505144644626,0.0136746259687588,0.0120876601724496,0.0122549551505554,0.0122662225993909,0.000457666237480754,0.000439169864594055
"ARG",0.0116945477499275,0.00973261065902864,0.0104702887956255,0.0055831992772308,0.00931075736501231,0.00444014809850984,0.0341243592848088,0.0353321922490085,0.0581102264857662,0.031282745478447,0.0301374248234793,0.0315926472822631,0.0100512058403683,0.0088110103167997
"ARM",0.0699683835631906,0.0179567066342205,0.0705607228358103,0.002471909533205,0.069478999213947,0.00172073724677707,0.107285363068134,0.117294639846007,0.180296214632841,0.102557945863986,0.104715774932756,0.107149960342007,0.0118331395795087,0.0114531130201413
"AUS",0.0522146442809195,0.0236821137515457,0.0210649851042856,0.0202611537659567,0.0198289899187771,0.0179577784091067,0.0634839010425723,0.0405183813523669,0.0567553838145363,0.0398060146943444,0.0203617515693843,0.0143190585929052,0.0482024904096599,0.0170274264002002
"AUT",0.0384371835745611,0.0138151374826548,0.0281692362564856,0.00767571033467923,0.027587339613377,0.00666446446302252,0.0402149757856808,0.0382356186448283,0.0796666693145659,0.0306928650971055,0.0250340183335565,0.0263637802274422,0.0209888700419941,0.0104570615141563
"AZE",0.0268574792197259,0.00425372589964166,0.0269210617147491,0.000481989133924231,0.0267255304300901,0.000523001714964775,0.023398660059384,0.0251709129330019,0.03652437738437,0.0216009336777041,0.0229940116923014,0.0233361552433901,0.00301340869079637,0.00297878724085265
"BDI",0.0591129263168531,-0.011383421397887,0.0370629658373119,0.0250247880709825,0.0332745697285044,0.0214048412582892,0.255254533993918,0.194454842125575,0.245426786581426,0.235729626596232,0.219270612038924,0.220606575547036,0.0501258397672805,0.0276868864061064
"BEL",0.0749906710849951,0.0145674029861855,0.0631531657857281,0.00974163406354958,0.062552654314304,0.00840770987250463,0.0364177519410054,0.0377897740021711,0.0711738461127733,0.0279229175746881,0.0181821709386794,0.0176249075279724,0.0227519863032886,0.0102719438568785
"BEN",0.0456521914280038,-0.00331744352767724,0.0348125420313972,0.0167426863837286,0.0318009163243052,0.0139350151199234,0.101628857246897,0.0674369887053329,0.0993215352024543,0.0907341780927873,0.0811105937232763,0.0816764622965848,0.0311507434660001,0.0199282703968588
"BFA",0.0237587947592881,-0.00272900931823998,0.0188833452101262,0.00789761188043986,0.0175672695530143,0.00666715949073811,0.0454120170827802,0.0289742801622171,0.0439479577352039,0.0402116429083776,0.0366329044063992,0.0368120956233658,0.013821776663547,0.00881662074564782
"BGD",0.0888939313729138,0.0106973406761577,0.0814708551076532,0.00839451851204932,0.0799674792532166,0.00766265224405798,0.120473520820055,0.113603870110081,0.120171404722191,0.112100803208363,0.103761064649981,0.103884005732169,0.0184835224334962,0.0109065505533589
"BGR",0.0313644266309524,0.0208914160772874,0.0335770867861176,-0.00124693621779865,0.0337211186614155,-0.00131083423933315,0.063968956665738,0.0867121495236943,0.181030725078948,0.0639888915842131,0.0666138061311776,0.0718714524861868,0.00425325122608088,0.00588104861521464
"BHR",0.00335775453680333,0.00366816690761846,0.00314230853870463,0.00170611900838751,0.00277739818238047,0.00134833951351523,0.0593930084582741,0.0599652735182577,0.0676873347460881,0.0580051523322677,0.0583486801518194,0.0585336380041804,0.00335775453680333,0.00314230853870463
"BHS",0.00658643124152844,0.0256184205608765,0.00682392626229595,-0.00443827013582089,0.00746324232471273,-0.00383254529334571,0.18226330005634,0.206221781381661,0.360128703112615,0.176177970968926,0.183902337859504,0.187852324961947,0.00658643124152844,0.00682392626229595
