iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"AFG",0.00928104874197548,0.00484545897940732,0.00897948813497685,-0.00325427342179161,0.0103810728026735,-0.00161587974434838,0.277630171312572,0.283215923511841,0.307053892481906,0.275161688173065,0.279781851249967,0.280722529432252,0.000533497212740083,0.000187714359872987
"AGO",-0.00363217364375084,0.00724622744391562,-0.00524112319563495,-0.0105873569297658,-0.000563384825912782,-0.00581046403135972,0.0771414561183296,0.0903672471443398,0.111732013330549,0.0727081683667531,0.0824948604983623,0.083867286471205,-0.00443751939868457,-0.00604642204349196
"ALB",0.129440414769039,0.0297128946928172,0.108172453393151,-0.0306583197439689,0.138592986653098,-0.0134146137940924,0.658487451693896,0.741072104883925,0.9,0.673225591089454,0.666621003108531,0.69180117358003,-0.0222314042436498,-0.0447993088300402
"ARE",-8.64815922622289e-05,0.000209292210272221,-0.000398187381626081,-0.000664421400845632,-1.68905821728123e-05,-0.000262424344879522,0.0113887069221275,0.0117057881333754,0.012417970455543,0.0108329213212021,0.0115119357595154,0.0115255066461129,-8.64815922622289e-05,-0.000398187381626081
"ARG",-0.00163382979100544,0.0042598534644737,-0.00500924174253148,-0.00959630063946775,1.67629108252176e-05,-0.00456687101063553,0.0117115836347914,0.0207436579843944,0.0333294945523347,0.00695366923983893,0.0144744917304591,0.0159047893517179,-0.00326824974940213,-0.00664319654344049
"ARM",0.0423022195007082,0.0012341031440674,0.022336478338968,-0.0377170412940402,0.0469747718471792,-0.0162536975277307,0.057974540906644,0.0768827865891192,0.11066955475852,0.0374300230945537,0.0652221381717237,0.067758127901524,-0.0148231307168979,-0.0341298049369692
"AUS",0.0321293521820462,0.0169788312916421,0.016740130654382,0.0168921883288642,0.014705441040597,0.0125928329191159,0.0368603799646618,0.0272081241981419,0.0439641279968277,0.027602540520993,0.0130032236688488,0.00784043945695967,0.0281416843737154,0.0127196644329986
"AUT",0.0221039425876531,0.0109608258637499,0.0223204755222347,0.00221021191515676,0.0223212638876483,0.00169590863130745,0.0177699738241251,0.0291412392484647,0.0669527935939149,0.0183230195301831,0.017776861209102,0.0191307637332647,0.0047041837694222,0.00470832602973911
"AZE",0.0191427463483894,-0.000228246290796043,0.0118244766331724,-0.0136419058805973,0.0202836301038624,-0.00520374525678414,0.00971103607252508,0.0144976503546632,0.0156343050347393,0.00106751836719913,0.0116536980791504,0.0120553082630184,-0.0045923798510398,-0.0117663951437638
"BDI",0.00389197556117055,0.00342599053708938,0.00304045774087904,-0.0082750213558187,0.00611712114866669,-0.00500703552926925,0.174525268369792,0.184008332186597,0.182938437662263,0.173458223219581,0.178066651192522,0.178872763293952,-0.00523097812203596,-0.00602840791816277
"BEL",0.0591934976967378,0.00982293672160102,0.0580316389831599,0.00563626237562222,0.0577307240486408,0.0041299455297279,0.0145834347985933,0.0264431036677063,0.0592138188463012,0.0165729729014083,0.0116264775925287,0.0113638636101813,0.0071943954586615,0.00540336159418337
"BEN",0.00757601220518493,0.002984462981732,0.00463419272053561,-0.012414968175269,0.0100195167411104,-0.00694579334957719,0.0438566163670118,0.0542215965629436,0.0485867438719997,0.0402066287551491,0.0478066264397032,0.0482037071088021,-0.00701847146362031,-0.00981638935180513
