iso,mH,mL,mi,ywd,ypwdSC,w,wH,wL,wHd,wLd,wHdd,wLdd,wHGEd,wLGEd,wHSCd,wLSCd,wHGE4d,wLGE4d,wHSC4d,wLSC4d,ywdPESC,ywdSC,ypnd,LhNM,LlNM,LNM,LhNS,LlNS,LNS,LhPESC,LlPESC,LPESC,LhSC,LlSC,LSC,Lh,Ll,L,wHGE,wLGE,wHGE4,wLGE4,rpc,Nh,N,thetH,thetHNew,TFP,TFPNew,LiT,LiTNew,lic,lmic,umic,hic
"BEN",0.184178498985802,0.0033160541186835,0.00633776202176895,3200.6188971094,3153.69379152257,3498.43429179425,15485.8127220755,3331.71604640527,14167.533445355,3048.09307493332,14214.1210797131,3094.68070929145,15050.4281155777,3037.46449228806,14751.1244489372,3015.37831509308,15046.4677635437,3036.54098845839,15029.5585229586,3072.19438027671,3157.93988002494,3153.69379152257,3379.34605041547,40046.7236970712,3648479.27630293,3688526,39766.6356033737,3622961.69306335,3662728.32866672,43063.4928198789,3629064.11211104,3672127.60493092,44594.9643120641,3643931.03568794,3688526,50275,3614874,3665149,16446.3329719447,3319.18481301692,16446.9673456631,3319.1770497756,46.5876343581272,61625,3688526,0.354065684202943,0.348670836370326,7500.44540481971,7485.71095436793,0.466430205537686,0.4680124426375,0,1,0,0
"BFA",0.0872737994324415,0.00223182073540683,0.00310829972579501,2858.56839014903,2839.42342299586,3161.82831153311,14581.3364913936,3053.04414914007,13182.7991508539,2760.21802532014,13211.2874090458,2788.70628351204,13582.7887606003,2756.90617179928,13441.9670020478,2745.3416990545,13580.950158801,2756.53366267967,13600.7344504163,2777.76836609655,2841.43919664796,2839.42342299586,2933.57955894125,44361.4496691549,5220896.55033085,5265258,44219.9790004881,5204246.8751855,5248466.85418599,45927.5860041075,5207318.7026467,5253246.28865081,46715.6139545128,5218542.38604549,5265258,49530,5199362,5248892,15021.7697790062,3048.9769475926,15021.7662668847,3048.9769790326,28.4882581919002,54266,5265258,0.317940396760136,0.31546604253468,6277.19540153452,6271.04983296874,0.503700794587368,0.504953246207177,0,1,0,0
"BGD",0.0335693362288283,0.00403476117240861,0.0062746188836786,2273.60011618597,2251.29462549763,2368.08043179711,8268.66919384317,1898.22560025536,7938.77057020328,1822.4912833778,8097.06792679799,1980.78863997251,8020.86164450307,1816.40265400779,7929.38623695334,1800.59026014967,8019.16478565713,1816.17589352026,8518.54060541485,1934.50855602066,2256.86113830596,2251.29462549763,2471.5468833809,5037396.70840017,66800751.2915998,71838148,5005471.03564445,66377386.0002302,71382857.0358746,5116225.5450235,66418358.8321475,71534584.377171,5166178.65348712,66671969.3465129,71838148,5265208,66122183,71387391,8352.94348605798,1891.60583853866,8352.4037474539,1891.64766463033,158.297356594708,5448097,71838148,0.551408243453883,0.550061225874135,7003.61556452846,6989.98998344364,0.338122561122692,0.335861558929424,0,1,0,0
"BGR",0.0947018978345611,0.0990814237163375,0.0982115102985781,11888.270599652,11448.3845447065,13404.5936902913,17554.4315500063,12370.9899733648,15568.6802085389,10971.5877845266,15885.8619963047,11288.7695722924,15611.5283654419,11038.5135651271,15399.9969985194,10881.689051211,15517.9370545743,10984.4315186779,16023.214290297,11332.0389216951,11900.9317837253,11448.3845447065,12680.8769877927,1099164.44808465,4337601.55191535,5436766,991210.137145813,3911584.51007904,4902794.64722485,983880.906797694,3918143.91077062,4902024.81756831,1089915.0722118,4346850.9277882,5436766,977645,3925168,4902813,17511.273889893,12381.7751761019,17497.0409453738,12385.3478312252,317.181787765747,1079915,5436766,0.414581671427348,0.415000313268199,26670.7694394116,26093.2046940758,0.50259493715555,0.502862158720882,0,0,1,0
"BHR",0.0231648248951375,0.00452938163001949,0.0079391360550406,5375.22659033436,5347.9133618818,5863.98157758652,12447.63771911,4417.18945596327,11410.1438364592,4049.02264853474,11410.1438364592,4049.02264853474,11418.9577766027,4048.70173391749,11397.7047228786,4041.85446916015,11416.0388574163,4047.73112253633,11416.4411411047,4048.55024465682,5372.13068945865,5347.9133618818,5669.41927943042,281818.142723142,1285480.85727686,1567299,279565.824456073,1275207.16805001,1554772.99250609,279636.467740361,1275384.72332745,1555021.19106781,281975.780700727,1285323.21929927,1567299,280128,1274728,1554856,12454.1855931246,4415.75175176934,12454.0633374102,4415.77857280375,0,286771,1567299,0.569155515262389,0.569097037364698,14695.5461889805,14659.6636536942,0.399031210012707,0.39887431777365,0,0,1,0
"BHS",0.337761330056062,0.0820916755977651,0.119559014582157,20107.7118197464,19391.2382558881,22045.5710004128,52834.5042482433,18231.371848975,48190.2231311201,16628.7900282085,48190.2231311201,16628.7900282085,47496.7747733802,16802.5845331327,47164.664193678,16602.2390999046,47296.8046422529,16733.8962585573,47805.6022007549,16829.5054039308,20419.0205506707,19391.2382558881,23784.798780144,28924.8886506016,218158.111349398,247083,25128.6951358135,189526.353505595,214655.048641409,25031.7727556602,188960.550528989,213992.323284649,28465.2299254967,218617.770074503,247083,23979,193563,217542,51878.7359317764,18352.7586899288,51874.0819802047,18353.364734267,0,36209,247083,0.504951921064383,0.506649364336588,54739.6245983507,53379.2139257051,0.402735151403961,0.405672386242566,0,0,0,1
"BIH",0.280607931130304,0.179005760011738,0.188757823422257,7944.87158068217,7560.98291764754,9428.02507362596,25515.2056092783,7931.36794840944,21501.3250746961,6683.65848808853,22233.8219324558,7416.15534584824,21616.3165590352,6795.56012831458,21184.4977342368,6644.81403519454,21320.1086541003,6700.56633471217,23504.8649722101,7370.98018379704,7991.76273471884,7560.98291764754,11370.2352853393,308135.41235516,3216057.58764484,3524193,249593.909018433,2605050.74309166,2854644.65211009,249533.300810194,2601541.01722234,2851074.31803253,306207.3232975,3217985.6767025,3524193,243343,2615631,2858974,25295.1281782713,7952.07472186183,25300.5599974581,7951.55800182705,732.496857759702,338262,3524193,0.495263819333809,0.49599917498795,23961.4371759098,23161.9853514198,0.393466594028201,0.394543397778735,0,0,1,0
"BLR",0.0630972972858795,0.0216332951753216,0.0290615303907506,10273.4601909894,10081.1153648991,11656.3190344982,19107.4056257616,10099.0539575052,16840.5798149809,8900.9427840828,16910.8421261806,8971.20509528243,17028.2153433556,8885.66830713369,16868.8765032213,8825.08147558648,16993.5104929457,8869.28085943401,17084.3889191477,8939.21712983796,10216.7086679427,10081.1153648991,10674.864029513,1761268.45079339,8810645.54920661,10571914,1709611.74985605,8552235.83205411,10261847.5819102,1729125.47619549,8545435.41234477,10274560.8885403,1789188.95758184,8782725.04241816,10571914,1774445,8490233,10264678,19283.7704249066,10062.6627189969,19281.0772756333,10063.2114654021,70.2623111996304,1893948,10571914,0.463793450788104,0.462687021496463,25171.5529433626,24966.893686454,0.46307508562247,0.461543733859732,0,0,0,1
"BLZ",0.49623688611829,0.199486622441196,0.242625849588331,8896.5373956791,8710.93903985259,10746.4298168603,29412.0698793543,8748.38663948038,24349.0707169994,7242.43774131263,24910.2001638141,7803.56718812733,23782.5811954327,7584.05545762014,23709.0378329454,7456.04319129502,23099.731148677,7360.30738184086,25698.6326947564,8076.4724176712,9254.68425423904,8710.93903985259,18696.2773856617,20596.4491533841,160373.550846616,180970,15187.1936410867,118254.566769148,133441.760410235,15145.6877785375,117244.929065431,132390.616843969,19826.8652409548,161143.134759045,180970,13253,123809,137062,27957.3092323281,8915.33942095953,27973.7358586363,8913.31995220122,561.129446814702,26308,180970,0.523801440746833,0.528342254462961,28369.4376734582,27273.2242532581,0.378803060552534,0.387193186118174,0,0,1,0
"BOL",0.041036278329243,0.0491316780108206,0.0479847958030134,6261.30821636247,6152.9992847786,7307.31189031451,12755.8858644443,6400.34525367512,10929.947177414,5484.16913441308,11190.7680385682,5744.9899955673,10915.8822539152,5522.40871486774,10812.1327027247,5460.91837884222,10852.4129729333,5497.35519761822,11367.382856546,5747.26248383594,6280.72119789782,6152.9992847786,7236.45193131786,647027.597351628,3627055.40264837,4274083,615974.726879424,3452981.71232611,4068956.43920553,589608.859885119,3476686.80922694,4066295.66911206,618596.546650122,3655486.45334988,4274083,580665,3488327,4068992,12677.3215779882,6413.53117732214,12665.1285286138,6415.59718736533,260.820861154212,605513,4274083,0.44846840346916,0.450181028775683,15799.3317135999,15602.413023462,0.462507656828576,0.464649520786661,0,1,0,0
