iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"AFG",0.0130290987506898,0.00557926181952433,0.0120055266224037,0.00623894075855859,0.0105239077514882,0.00478082314377361,0.296894678885773,0.299139395085037,0.325955372443558,0.299944898442301,0.292025007880564,0.293015610353315,0.00456793855117047,0.00348233446501698
"AGO",-0.00380488762864342,0.00483824637939872,-0.00377950955609028,-0.000388771211859996,-0.00367663136115069,-0.000306528960385174,0.0844529055325349,0.0953199587657151,0.120763274066021,0.0901290198157191,0.0846485669951529,0.0859938066886492,-0.00457266945020595,-0.00455018603968304
"ALB",0.0782746379617903,0.0188040031650222,0.0801124133518069,-0.00752737323839484,0.0826056929255831,-0.00533693235561143,0.658495957419839,0.772939805332298,0.9,0.743906579924933,0.662350853181508,0.68688621954768,-0.0671380055668656,-0.0674008388151285
"ARE",-5.47871277688313e-05,0.000232542851797306,-5.68981216699615e-05,6.12533138261322e-05,-7.23848803211063e-05,4.55669640310706e-05,0.0120018242065728,0.0123092567733891,0.0133405766490782,0.012137947370538,0.0119732574261501,0.0119839245495702,-5.47871277688313e-05,-5.68981216699615e-05
"ARG",0.00311749761517131,0.00407113183234262,0.00250239434487642,0.00436281191785809,0.00147207960381708,0.00330112283334781,0.0238549781508139,0.0278148410961983,0.0483602898133952,0.0281617899761165,0.0213550052259121,0.0227111133079347,0.00154683532906171,0.000920400576708717
"ARM",0.0446700628534368,0.00690941385584844,0.0450580367786454,-0.00313159227470624,0.0455801195837561,-0.00241565191030683,0.0811123796069238,0.102083325000855,0.154285731693475,0.0930506127838843,0.081987626822627,0.0842413938337725,-0.010972739860622,-0.010952137406486
"AUS",0.0628374149460488,0.00862966576496726,0.020793617303799,0.0299821704566623,0.0187462544181068,0.0261137287599326,0.072709616223631,0.0238807213066697,0.0544985504005741,0.0474894352239426,0.0188006852787939,0.0132252931933779,0.0590564928814457,0.0169467320488178
"AUT",0.0283522440870349,0.00287076744756413,0.0161824318872688,0.010349241106742,0.0153530478826295,0.00873953707223272,0.0294445881706672,0.025032359391394,0.0667355276482426,0.0312543622420229,0.013063354943955,0.0142963635834036,0.0120195167337735,-0.000381331608789105
"AZE",0.0203962761803181,0.00146179613880886,0.0203797985274516,-0.00156688616516509,0.0207381347264252,-0.00100751070845663,0.0168691758372592,0.0214964683578947,0.0299807510034358,0.0186816793370226,0.0173832589102083,0.0177105201436338,-0.00271976838334448,-0.00275980197942366
"BDI",0.0135997691366839,-0.00222301550457918,0.0129125076700776,0.00424884933769013,0.0116365685568849,0.00309831311464334,0.189444063744153,0.182866825939461,0.197852768974094,0.190546403097362,0.186694426604099,0.187428616020513,0.00507671895659087,0.00430380575993659
