iso,wHdd,wLdd,wHSCd,wLSCd,LhSC,LlSC,Lh,Ll
"HRV",24776.6789926077,8265.04107380176,24356.3231561956,7683.56654781241,556686.629363658,3498763.37063634,485328,3053726
"HTI",6894.54091576236,1724.88185372114,6319.67752671965,1348.80293976215,148624.613835053,4710601.38616495,124113,4126108
"HUN",14643.6560576421,9702.84936534662,14605.1192688225,9299.81597500634,1061794.07658237,7565467.92341763,1155821,7418232
"IDN",27969.0064865928,6982.26341739102,27857.0798164055,6921.90491189356,8197569.41822424,115934706.581776,8143123,115691852
"IND",19217.694586231,4778.38782816547,19076.3790182834,4664.4544641017,48562923.6280193,553352743.371981,48549857,550173039
"IRL",44994.7974672429,24795.3169836923,46760.2674573183,25855.2134878522,1483271.51428101,2136711.48571899,1397472,2059985
"IRN",31523.8512723697,8474.03544626331,31500.9954086118,8488.82063823301,5317362.49920563,38869400.5007944,5147679,38244969
"IRQ",5893.02048717762,1738.79522984639,5910.29879887044,1723.54206982183,1871177.48070284,11084717.5192972,1831206,10636810
"ISL",42336.3551701393,19831.7155151536,42452.7831210516,19281.8570993327,59494.0524728339,143212.947527166,61183,140980
"ISR",29426.9861450237,20898.8517857249,28498.5827701221,19314.8991863263,1394324.10566978,2986352.89433022,1846377,3529608
"ITA",34572.863999315,21405.2469442788,34777.4897578915,21174.1751308135,4910660.45012358,41553743.5498764,5305137,42879515
"JAM",18740.8856149365,5544.33615626697,18573.8127917069,4418.68599126869,356113.773144693,1947056.22685531,224003,1226225
"JOR",26786.4389947985,11051.8907024694,25082.7934237259,9596.4431527562,638177.583169085,2319561.41683092,624843,2251575
"JPN",38062.3504262074,23590.2481070887,38062.0803465347,23520.2349034853,31871930.6851474,64795560.3148526,32059551,64605537
"KAZ",32603.0976465078,12843.090422319,32936.5139406844,12997.9132448949,2534467.37745671,8286638.62254329,2325948,7675268
"KEN",12369.9271203492,2640.03400169274,12222.0897739032,2586.47542088625,456517.989250705,14597189.0107493,437448,14382138
"KGZ",7072.6828939364,3020.69112773903,6599.70209508312,2629.53979678061,488195.375911681,3992995.62408832,491063,3974824
"KHM",21962.190807043,4922.47855342108,21770.8816821046,4874.35303717933,140611.191412317,6779522.80858768,130992,6533170
"KWT",39987.1310561907,16662.1800170133,40173.5546328392,16657.8155360806,289740.985337476,1500708.01466252,286403,1459577
"LAO",14657.4386753337,3389.60095046915,14747.9583906277,3400.14205587353,138992.290853311,2672507.70914669,124798,2433954
"LBN",21691.4207428418,8827.45176556873,18000.4656398084,5806.15654500218,508621.766043327,2430850.23395667,435445,2121127
"LBR",9237.27876103601,2139.55450523513,8663.74811328161,1937.91186457734,16980.1355103888,1522257.86448961,14286,1462235
"LBY",13724.9186714653,4495.55236428584,13819.4123352749,4487.74715862538,325727.771160649,3052428.22883935,325097,2960434
"LCA",31017.4944813984,7738.8804271115,32084.5766700023,7933.9090427133,21282.9971540895,115054.002845911,15054,86803
"LKA",27166.7591900064,6356.72727462769,26473.0410955448,6038.34568677246,1072039.66885518,11999754.3311448,979220,11605704
"LSO",5530.7495333446,1350.02340913678,5056.68517314191,1058.79039354326,105012.481920429,2316838.51807957,104906,2314637
"LTU",25536.5431636802,11445.6452922386,25020.6107285676,10937.5751439879,900708.812556073,1250145.18744393,785965,1153157
"LUX",69781.4560209675,54109.8875209389,66488.111123743,48464.2036813418,80850.0220799101,282237.97792009,114734,344322
"LVA",27710.2203971051,14546.4423608095,26754.5421854158,13532.8312077646,414537.81503982,1108479.18496018,451302,1188551
"MAR",21969.2275082151,5795.05944109027,21780.7735425096,5435.68332159438,1008756.22264515,17497063.7773548,891644,15414338
"MDA",8431.67000589739,4081.77048084962,7607.8604033516,3167.93216922425,275829.005988305,2271410.9940117,281837,2036000
"MDG",8548.02306477866,1824.9528347468,8517.57307146157,1768.65278167192,140911.272493014,7694814.72750699,142839,7586983
"MDV",56476.5490900704,18928.5521301238,56398.5578489726,18915.9144357919,5397.14250720398,121821.857492796,5341,121292
"MEX",44404.9893868114,9973.89881985669,45036.6499860069,9745.31072547915,8413668.0066875,61895266.9933125,7447953,53561130
"MKD",11107.0583686077,4380.38378327927,11053.2133688419,4211.53056905666,209818.526735682,1688556.47326432,175557,1420898
"MLI",15655.8716324689,3374.61412069833,15280.0821899352,3250.19922576621,31506.2795132855,4904734.72048671,29446,4831402
"MLT",40992.7837162639,15140.0990450263,42337.9551820662,15027.4950214144,62931.4570730383,290253.542926962,47539,218388
"MMR",18985.2153185087,4120.99575710311,18984.6850050008,4116.22890737786,2825471.70933074,24349255.2906693,2817021,24256159
"MNG",5373.55618346048,1313.42845085231,5105.92569634678,1131.95365207504,160505.350074992,1480257.64992501,159209,1464269
"MOZ",25086.5728617978,5264.42136663775,24553.4685298253,5325.1166165635,50153.5460854615,8709817.45391454,44179,8626971
"MRT",11145.1044798127,2412.36076569781,11167.2373081429,2416.65755499914,89830.8249113945,1400277.17508861,88396,1376973
"MUS",71809.8263089048,21372.9897769324,69846.5597553582,22846.97493397,37985.4218839614,837957.578116039,19425,734759
"MWI",7500.44727458563,1560.47287454509,7529.49022540181,1553.40010702901,66172.8214072835,6227374.17859272,67396,6203537
"MYS",49775.1051279452,13920.6463958097,49724.3132779339,13885.886066126,2257279.21767091,11786015.7823291,2200092,11606271
"NAM",26161.6109790699,5517.94924529315,26022.4732722998,5478.35699322682,75398.0333954049,1183565.9666046,73631,1177009
"NER",6722.61830948629,1426.01963038444,6699.45152029146,1394.79046135405,37550.1584442484,5536201.84155575,38194,5525546
"NGA",14665.0927409468,3341.24481440243,14052.1018773049,2941.82907917706,5101547.48003524,52874091.5199648,5064447,52465559
"NIC",10056.912790489,3288.75115543236,9729.25802429721,2913.53335187047,222323.004086241,2598479.99591376,211066,2357034
"NLD",37691.1325556116,26215.0731346896,37948.6503685684,25862.1303174322,2817135.49290396,9303698.50709604,3123242,9665509
"NOR",39577.6630710584,35517.0596379663,39670.8328157062,34867.4851099393,865368.766985446,2297621.23301455,977014,2425200
"NPL",46088.3406955661,11287.818718901,43416.8824646522,9614.30513527138,93114.5164602915,2530116.48353971,92102,2508403
"NZL",24741.0294187561,20024.3909780776,25427.7734531709,19781.1500819241,998521.683392093,2106519.31660791,1164347,2154384
"OMN",9453.68271810323,3348.68363042585,9444.31393522902,3340.54958414355,850416.855451885,4619905.14454812,849631,4614687
