o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"AFG","PRY",0,1,1,0,0
"AFG","QAT",0,1,1,0,0
"AFG","ROM",0,1,1,0,0
"AFG","RWA",0,1,1,0,0
"AFG","SAU",0,1,1,0,0
"AFG","SDN",0,1,1,0,0
"AFG","SEN",0,1,1,0,0
"AFG","SGP",0,1,1,0,0
"AFG","SLB",0,1,1,0,0
"AFG","SLE",0,1,1,0,0
"AFG","SLV",0,1,1,0,0
"AFG","SOM",0,1,1,0,0
"AFG","SRB",0,1,1,0,0
"AFG","STP",0,1,1,0,0
"AFG","SUR",0,1,1,0,0
"AFG","SVK",0,0.999999395553395,0.999999998727316,70,28
"AFG","SVN",0,1,0.999999999910198,0,5
"AFG","SWE",0,0.999960346053627,0.999998740250274,1865,4920
"AFG","SWZ",0,1,1,0,0
"AFG","SYR",0,1,1,0,0
"AFG","TCD",0,1,1,0,0
"AFG","TGO",0,1,1,0,0
"AFG","THA",0,1,1,0,0
"AFG","TJK",0,1,1,0,0
"AFG","TKM",0,1,1,0,0
"AFG","TON",0,1,1,0,0
"AFG","TTO",0,1,1,0,0
"AFG","TUN",0,1,1,0,0
"AFG","TUR",0,0.999973118820087,0.999983309659842,1458,15325
"AFG","TZA",0,1,1,0,0
"AFG","UGA",0,1,1,0,0
"AFG","UKR",0,1,1,0,0
"AFG","URY",0,1,1,0,0
"AFG","USA",0,0.999433993845112,0.999989772044202,20224,30052
"AFG","UZB",0,1,1,0,0
"AFG","VCT",0,1,1,0,0
"AFG","VEN",0,1,1,0,0
"AFG","VNM",0,1,1,0,0
"AFG","VUT",0,1,1,0,0
"AFG","WSM",0,1,1,0,0
"AFG","YEM",0,1,1,0,0
"AFG","ZAF",0,1,1,0,0
"AFG","ZAR",0,1,1,0,0
"AFG","ZMB",0,1,1,0,0
"AFG","ZWE",0,1,1,0,0
"AGO","AFG",0,1,1,0,0
"AGO","AGO",1,0,0,195932,6404055
"AGO","ALB",0,1,1,0,0
"AGO","ARE",0,1,1,0,0
"AGO","ARG",0,1,1,0,0
"AGO","ARM",0,1,1,0,0
"AGO","AUS",0,0.999977887086631,0.999999906262018,149,243
"AGO","AUT",0,1,1,0,0
"AGO","AZE",0,1,1,0,0
"AGO","BDI",0,1,1,0,0
"AGO","BEL",0,0.999912076590474,0.999997855023749,399,2163
"AGO","BEN",0,1,1,0,0
"AGO","BFA",0,1,1,0,0
"AGO","BGD",0,1,1,0,0
"AGO","BGR",0,1,1,0,0
"AGO","BHR",0,1,1,0,0
"AGO","BHS",0,1,1,0,0
"AGO","BIH",0,1,1,0,0
"AGO","BLR",0,1,1,0,0
"AGO","BLZ",0,1,1,0,0
"AGO","BOL",0,1,1,0,0
"AGO","BRA",0,1,1,0,0
"AGO","BRB",0,1,1,0,0
"AGO","BRN",0,1,1,0,0
"AGO","BTN",0,1,1,0,0
"AGO","BWA",0,1,1,0,0
"AGO","CAF",0,1,1,0,0
"AGO","CAN",0,0.999611874404872,0.999998986770485,1035,1215
"AGO","CHE",0,1,0.999991747346082,0,4954
"AGO","CHL",0,1,1,0,0
"AGO","CHN",0,1,1,0,0
"AGO","CIV",0,1,1,0,0
"AGO","CMR",0,1,1,0,0
"AGO","COG",0,1,1,0,0
"AGO","COL",0,1,1,0,0
"AGO","COM",0,1,1,0,0
"AGO","CPV",0,1,1,0,0
"AGO","CRI",0,1,1,0,0
