"HumCap_p","TecExt_p","DiaExt_p","FisExt_p","MktExt_p","RemEff_p","NatEff_p","HumCap2_p","TecExt2_p","DiaExt2_p","FisExt2_p","MktExt2_p","RemEff2_p","NatEff2_p","NIR6_NSp","NIR7_NSp","ynoselec_p","ywdp"
"-0.00234912475","-0.00267356391","0.0062591373","0.00445034231","2.03922524e-06","-0.000220308485","0.155028961","-0.00234912475","-0.00265361383","0.0062907337","8.53448522e-07","2.03922524e-06","0.0403016906","0.155028961","0.00546852169","0.160497482","6732.51731","6769.3343"
"-0.00340225736","-0.00106284918","0.00114029355","0.00236362221","8.88694294e-06","2.58595421e-06","0.0136565548","-0.00340225736","-0.0010567844","0.00114540792","2.46966622e-06","8.88694294e-06","0.00269762279","0.0136565548","-0.000949717879","0.0127068369","10889.4705","10879.1285"
"-0.029279245","-0.0202871771","0.0215919019","0.043173394","0.0130819502","-0.000518566165","0.377930986","-0.029279245","-0.0188195553","0.0227179494","0.00592518124","0.0130819502","0.0353239304","0.377930986","0.0277622578","0.405693244","18601.4158","19124.6784"
"0.00218162656","0.0017636618","0.00379602583","-0.00314892029","0.000147079432","0","-0.00231279647","0.00218162656","0.00177387131","0.00378110827","1.85347818e-05","0.000147079432","0","-0.00231279647","0.00473947333","0.00242667686","40323.9211","40515.0634"
"5.20522065e-05","2.53949934e-05","0.00218269512","-6.18660041e-05","3.50413562e-05","-8.16098394e-06","0.0586113204","5.20522065e-05","2.54006338e-05","0.00218252609","7.81361857e-06","3.50413562e-05","0.00372628044","0.0586113204","0.00222515669","0.060836477","6643.49816","6658.28151"
"-0.00211722026","-0.00110039644","0.000577443857","0.00316061604","1.04588158e-05","-1.58128563e-06","0.0546649902","-0.00211722026","-0.0010889322","0.000579307847","5.22189991e-06","1.04588158e-05","0.00304760396","0.0546649902","0.00052932073","0.0551943109","2903.06625","2904.60292"
"0.00148800199","0.00413010186","0.00126388661","-0.00898139389","0.000235887396","0","0.183807897","0.00148800199","0.00418388542","0.00125682563","1.34764722e-05","0.000235887396","0","0.183807897","-0.00186351603","0.181944381","1308.68848","1306.24914"
"0.0259659566","0.0654380763","0.00604064732","-0.0713348689","5.26491863e-07","-0.000434961443","0.0436426821","0.0259659566","0.0697549324","0.00553474894","-3.19665393e-05","5.26491863e-07","0.00200025353","0.0436426821","0.0256753764","0.0693180585","26020.6434","26688.7336"
"0.031494651","0.0352873884","0.00883558957","-0.0536788443","9.61930791e-05","-0.00345375389","0.0198389656","0.031494651","0.037960802","0.00828246937","2.05478197e-05","9.61930791e-05","0.0167060848","0.0198389656","0.0185812238","0.0384201894","25681.2538","26158.4888"
"0.00511259883","0.00364207691","0.00327616869","-0.00651624385","2.94807621e-05","-6.64343058e-06","0.0147953165","0.00511259883","0.00368511007","0.00324773582","5.71695589e-06","2.94807621e-05","0.000311503726","0.0147953165","0.00553743791","0.0203327544","21504.9769","21624.0629"
"0.00144550876","0.00479249597","0.000544569366","-0.00781757573","5.93271997e-06","6.18126652e-06","0.0114773175","0.00144550876","0.00484032759","0.000541193399","5.48146331e-07","5.93271997e-06","0.00600811058","0.0114773175","-0.00102288765","0.0104544298","10678.5053","10667.5823"
"-0.00109208837","-0.000621690151","0.00222373959","0.00183580975","0.000116660422","-3.64924316e-05","0.167544225","-0.00109208837","-0.000618040758","0.00222755713","2.59974082e-05","0.000116660422","0.015802526","0.167544225","0.0024259388","0.169970164","2671.62676","2678.10872"
