iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"AFG",0.0185414557074382,0.0103008288474013,0.0176767140755545,0.00521499104967987,0.0164023659140413,0.00406197894782347,0.29658115749171,0.298467434387898,0.325661260817149,0.293478599986635,0.292076267390326,0.293121429918763,0.00974599378229448,0.00880939736335697
"AGO",0.00466096884260399,0.00877034572375469,0.00468495992744988,-0.000873868767404256,0.0047632022330986,-0.000721835948165639,0.091660281463601,0.0981283527802892,0.127924859140027,0.0885183330212516,0.0918260183936673,0.0932631183730507,0.00385440329831619,0.00387166102904828
"ALB",0.146731751780932,0.0359934799034275,0.152660576495078,-0.00638680733165294,0.154686523908888,-0.00449132552265546,0.695077890224383,0.76904308230707,0.9,0.721313254603994,0.698537570074155,0.723700360173114,-0.0060088864490629,-0.00621970430104079
"ARE",0.000318473174022476,0.000451215120495017,0.000316755094979082,4.91909646607401e-05,0.000304249989569376,4.18469518654621e-05,0.0121060085426594,0.0122600644777964,0.0134447896889297,0.0118580127739416,0.0120808192466771,0.0120926896589884,0.000318473174022476,0.000316755094979082
"ARG",0.00842148632225878,0.00839970666400035,0.00795926394733043,0.00308731074826885,0.00717943266158031,0.00234510980350843,0.0286588614984237,0.0317992300807485,0.0533030434230183,0.026533474060272,0.0265595986300983,0.0279931460411364,0.00678031739135938,0.00630409333393571
"ARM",0.0630203070068523,0.013776929681713,0.0638978001734163,-0.00337389735383165,0.064330200022696,-0.00263408164756635,0.0949738573538312,0.107237155364814,0.167993638811811,0.0907120435458247,0.0957593846550726,0.0981221094524558,0.0051376649590133,0.00515511244249449
"AUS",0.0473969984176454,0.0218263406184947,0.0198555488327981,0.0189484630095501,0.0185505135807847,0.0164816868746106,0.0571595350645595,0.0371376443663093,0.0534905873037299,0.0363396263260816,0.0185309646044154,0.0127692946016108,0.0433908550073505,0.0158227666800299
"AUT",0.0345282367370313,0.0130906931699682,0.0268669886137053,0.00640158694775511,0.0263427339158365,0.00545850973370035,0.0349075680146017,0.0360806631439721,0.0767025097526817,0.0277495260819291,0.0233116614524743,0.0246514427260686,0.0170921461301786,0.00917708493700966
"AZE",0.0248847595618648,0.00311029891016129,0.024931770656263,-0.00140487348911571,0.0252266878781434,-0.00085672468575847,0.0199061106557723,0.0224518454756849,0.0330155029602595,0.0181213762370576,0.0203652084597022,0.0207097983836695,0.00106848477995093,0.00103580009697102
"BDI",0.013960181318804,0.00140957418629722,0.0135140078918346,0.00194924234342771,0.0126833381679325,0.00128619029476053,0.190289019883136,0.187654356124622,0.198972916952453,0.189417476757451,0.188248442096313,0.189038187546546,0.00485572915341251,0.00435056684178774
"BEL",0.0711717396558797,0.0133080177034814,0.0619689866162191,0.00859443753717521,0.061398780895821,0.0072812773011445,0.0311877898178032,0.0349740031032033,0.0683219138819041,0.0250148800641706,0.0166065486110242,0.0161811816167405,0.0189923730261534,0.00914624737042407
"BEN",0.0132522773215204,0.00233696158550465,0.0132470985090292,-0.00412518091064139,0.0138733184686865,-0.00334558818569898,0.0528645173255123,0.0568877063848303,0.0603074454451585,0.0518512459615962,0.0538444049255963,0.0541531176975191,-0.00133264642947019,-0.00132726048346659
"BFA",0.00983735787893146,0.00115684420945473,0.00983110168616441,-0.000970096810487737,0.0100111565377606,-0.000717212327827104,0.0256671269242313,0.0271136640704108,0.0289426537159857,0.0252259538046866,0.0259139171593424,0.0260501323553955,-0.000138766319727152,-0.000146224485513403
"BGD",0.0717263119404372,0.00223060580146568,0.0718481142090666,-4.31171493178066e-07,0.0716510727384344,0.000627626462236617,0.089533834260475,0.0901342854135983,0.0964353168261066,0.0884532041522652,0.0891195117107177,0.0892265041829825,0.00194690810717879,0.00191122741825583
"BGR",0.0319282462910803,0.021019198224931,0.0337887220079654,-0.0010372878774722,0.0339306087533475,-0.00105272255384932,0.0648076239281194,0.08712327521599,0.181539409086878,0.0644782337587979,0.0669172399314206,0.0722031393970552,0.00481358496191414,0.00608709402435282
"BHR",0.00204102619789428,0.00284900472224558,0.00201008630474702,0.000576286045114873,0.00185986966027057,0.000448839298585763,0.0570210190067857,0.0580905885586447,0.0654892596763597,0.0558176618603246,0.0566945739114391,0.0568821372132247,0.00204102619789428,0.00201008630474702
"BHS",-0.0045390404815032,0.0198339160178318,-0.00429987761068356,-0.0152262323870395,-0.000721968690028885,-0.0116342301969445,0.161375186219969,0.19063372588411,0.338072761498968,0.155838926249144,0.16862816195764,0.172321016035992,-0.0045390404815032,-0.00429987761068356
"BIH",0.0896842374509545,0.0291966325833731,0.0923515451741328,-0.00603429795589545,0.0941343899940912,-0.00397205044758876,0.401059793132042,0.457098418721664,0.730462731520448,0.41931078169771,0.403870735610618,0.422667659722471,-0.00411307519848355,-0.00437374654599765
"BLR",0.0181617648857305,0.0115086360783053,0.0160328878911538,0.00545170327452989,0.0148815808063717,0.00430819393501952,0.0534142212575439,0.055738402311454,0.0827951115601897,0.049798199165343,0.0479502496568604,0.0498337994099962,0.011256698170635,0.00905532287170497
"BLZ",0.0106692594961589,0.0222322695529656,0.0103769916383652,-0.0423568260135545,0.0222352021072263,-0.0313949362696898,0.9,0.9,0.9,0.9,0.9,0.9,-0.0517955259680754,-0.0533280499230158
"BOL",0.0411243992027721,0.0106787014284641,0.0434126647194491,-0.00190189006585256,0.0437259539673562,-0.00158509411363631,0.146585071419054,0.164129053435149,0.206229301960514,0.151047641533697,0.150190470964954,0.155495397350638,-0.000789581638020805,0.000989021149077
"BRA",-7.46123502608359e-05,-0.000461071404963443,-0.00101861273101976,-0.00487938921144382,0.000460167851446224,-0.00334099254970723,0.0102710557728598,0.0132387346852988,0.0169506972696363,0.00883597205709529,0.011270715203407,0.0117597196346028,-0.00290636701332267,-0.0038508202676039
"BRB",-0.0229771559514307,0.0345517916549732,-0.0204136601774173,-0.0374945091322143,-0.0102295637430236,-0.0280047051886114,0.264971257279743,0.413214793994425,0.9,0.346755489410747,0.28892260850372,0.335857118657601,-0.0590145596974288,-0.0574631551181771
"BRN",0.00716786347766839,0.00915599117488349,0.00687254966149113,0.00254272118244912,0.00620336073881032,0.00194340889067699,0.0042468892421512,0.00708761577635893,0.031853070546401,0.000481968790914431,0.00261207502296155,0.00331380193097651,0.00716786347766839,0.00687254966149113
"BTN",0.00612176957979134,0.00440590572163327,0.00613802615562936,-3.60770488141794e-05,0.00612168405988414,6.63867272389207e-05,0.0605468774772282,0.0636658596477038,0.0763858851741281,0.0592467245470059,0.0605146823905591,0.0612844908721568,0.00216797902218445,0.00216682474799927
"BWA",0.00088760831470676,7.60830974103516e-05,0.000361269741918705,-0.00323290519164706,0.00130463872603552,-0.00222736277406322,0.0526549079368017,0.0555581661303294,0.0560969223344616,0.0522918686469552,0.0534268333530331,0.0539003742181337,-0.00233812317874385,-0.00286141383237146
"CAF",0.00514208791846712,0.00168274263375561,0.00470868815441933,0.00263992826373244,0.00397465524102865,0.00193933947849013,0.181136437746549,0.177826180974838,0.191607234182563,0.178805843811998,0.179414384963163,0.179560615767841,0.00514208791846712,0.00470868815441933
"CAN",0.0164824578648887,0.0340591987553725,0.00892978022986417,0.0137569979650245,0.00879161049500988,0.0120923580782462,0.0573828898021065,0.0789207658945493,0.0946999122405165,0.058327861673642,0.0469200954047983,0.0311309016735203,0.0147926824745155,0.0072237776023922
"CHE",0.0609382043643056,0.0355934870276095,0.0473588498640485,0.0327343571000997,0.0421198098454674,0.0257944086330564,0.0579172862446013,0.0542180248776909,0.119856137173035,0.0503661627605544,0.0287645167899943,0.0304076550435312,0.0468213080202977,0.032896567703816
"CHL",0.0116298652481457,0.0102218767549861,0.0111488271752697,0.00638269938645516,0.00925233392743891,0.00483327236059114,0.0243673107947276,0.0243791447046252,0.0473645718081234,0.0206032268122965,0.0202782652822251,0.0215676270297845,0.0113121035088999,0.0108279452014499
"CHN",0.0107232717883965,0.00101143614199371,0.00907538094712834,0.00210133846834952,0.0087115895050867,0.00180867828072418,0.0157281632396219,0.0123275932774787,0.0176065908192335,0.0135016115283029,0.0129571821752875,0.0130370963122065,0.00449994183230714,0.00283136648432069
"CIV",0.0170805890209188,0.0039706514621216,0.0171379496712516,-0.00210589755794304,0.0175090201556928,-0.00155339312232216,0.163072799358752,0.167330504466249,0.18127142653709,0.161702491957728,0.163767936797565,0.164666447499894,0.000749694571065145,0.000749044416081239
"CMR",0.00556306584102843,0.00407566193461134,0.00557031741328678,-0.00667828733474333,0.00689937541648447,-0.00521922619797199,0.157748167179184,0.164973157662123,0.180581459611215,0.155082360534724,0.1602228997174,0.160945165210156,-0.00231480227450773,-0.00231789291185879
"COG",0.00674165616546221,0.00388319392645956,0.00676307225672988,-0.000400546611146794,0.00684140407304,-0.000215543907660245,0.228798481957726,0.23251883567047,0.24557527230272,0.228264915271767,0.228955009477435,0.230080951368053,0.00140038990168164,0.00140121390365224
"COL",0.0174339351601686,0.00734647247632154,0.0171002244425591,-0.00363929507382727,0.0181774825621321,-0.00235208984277197,0.0809026150272651,0.0897636011443573,0.120568655403705,0.0786358582643276,0.08201584314468,0.0840543084635237,0.000901587418563578,0.000427521253165444
"COM",0.318741206321746,0.0191057098845657,0.325642836389347,-0.00225287893497621,0.323616585397215,-0.00192424863493448,0.9,0.9,0.9,0.9,0.9,0.9,0.014159244071673,0.0132391458398233
"CPV",0.10738187027892,0.0449545375380871,0.114124491127263,-0.012077423133522,0.116782419640594,-0.009308069656729,0.9,0.9,0.9,0.9,0.9,0.9,-0.0338510269324461,-0.0328850216306531
"CRI",0.0215967345258473,0.0091908700437185,0.0216744773925629,0.00100006780760958,0.0213897172835686,0.000898689545411654,0.0904792493073318,0.0985059724397231,0.125089600261152,0.0902462931840617,0.0898307245492287,0.0924628315329334,0.00416970233178143,0.00408922537579033
"CUB",0.0118791632653492,0.0406650008354827,0.0066594017034851,0.0202407524105487,0.0024135448031673,0.0154621517077501,0.9,0.9,0.9,0.9,0.9,0.9,0.0118791632653492,0.0066594017034851
"CYP",0.0612299078516885,0.0343298303038519,0.0605504268434982,0.00695769016779921,0.058902265233624,0.0046672126682401,0.0921708267148848,0.134740429415228,0.284101931542756,0.106158173151729,0.0855221649770102,0.100029326877453,0.00977554428854851,0.0074842313428809
"CZE",0.0566100138744636,0.0040903757806335,0.0243540991924975,0.00877560132071103,0.0236045321755971,0.00789211220872827,0.0787039524059586,0.0392221132212463,0.0848831534509899,0.045957221723284,0.0409381990534752,0.0426485836923956,0.0457741883808707,0.0132698959939155
"DEU",0.0285158135800232,0.0159789449363761,0.0188826182508345,0.00708612844952879,0.0183848276198218,0.00603583834228595,0.0505856938781311,0.050688339760598,0.0915086221838142,0.0413403125222312,0.0364670144697104,0.0368616996812938,0.0195412548893957,0.00978453570251834
"DJI",0.037433188964606,0.00494410106794383,0.0376218843565108,-0.00536147744429726,0.0377484641059901,-0.00480310176182297,0.192801096860797,0.197499845446621,0.214821070208307,0.191148221543444,0.193067984517958,0.194294332975171,0.00170090461677432,0.00173499170886112
"DNK",0.0419278762837148,0.0204661556175332,0.0273946482452923,0.0157282411897385,0.0250957279548815,0.0130133543190406,0.0465618007112804,0.0405052551376228,0.0769971325578083,0.0366402275661454,0.0219868908292515,0.0258370250478618,0.0319391170185449,0.0172451633078022
"DOM",0.114596426586608,0.0284334694466907,0.116694672515733,0.00382702446966869,0.115568899497233,0.003342632912034,0.653945832069453,0.675812535580949,0.9,0.64911661958219,0.649911132890654,0.655603103062751,0.0159944256662736,0.0150469053670734
